cod_ibge6,ano,leitos_uti,leitos_complementares
352930,2014,20.0,28.0
352940,2014,92.0,126.0
353010,2014,0.0,4.0
353030,2014,0.0,2.0
353050,2014,10.0,10.0
353060,2014,117.0,145.0
353070,2014,22.0,32.0
353080,2014,24.0,29.0
353130,2014,13.0,16.0
353350,2014,6.0,6.0
353390,2014,7.0,7.0
353440,2014,141.0,157.0
353460,2014,0.0,1.0
353470,2014,34.0,41.0
353550,2014,10.0,10.0
353620,2014,16.0,34.0
353650,2014,4.0,4.0
353700,2014,0.0,2.0
353730,2014,8.0,11.0
353740,2014,0.0,4.0
353760,2014,0.0,9.0
353800,2014,20.0,37.0
353870,2014,110.0,132.0
353930,2014,10.0,10.0
354100,2014,40.0,52.0
354140,2014,91.0,103.0
354150,2014,4.0,4.0
354160,2014,8.0,8.0
354220,2014,5.0,9.0
354240,2014,0.0,2.0
354330,2014,11.0,12.0
354340,2014,296.0,392.0
354390,2014,51.0,73.0
354400,2014,0.0,2.0
354425,2014,0.0,2.0
354520,2014,16.0,17.0
354580,2014,10.0,11.0
354640,2014,13.0,20.0
354660,2014,6.0,6.0
354680,2014,7.0,7.0
354730,2014,0.0,1.0
354780,2014,286.0,404.0
354850,2014,265.0,282.0
354870,2014,246.0,400.0
354880,2014,81.0,95.0
354890,2014,51.0,65.0
354910,2014,20.0,20.0
354940,2014,8.0,8.0
354970,2014,7.0,7.0
354980,2014,301.0,370.0
354990,2014,206.0,248.0
355010,2014,0.0,2.0
355030,2014,4673.0,6122.0
355060,2014,9.0,9.0
355070,2014,8.0,8.0
355100,2014,23.0,42.0
355170,2014,29.0,38.0
355210,2014,0.0,3.0
355220,2014,173.0,175.0
355240,2014,36.0,72.0
355250,2014,30.0,41.0
355280,2014,40.0,54.0
355300,2014,0.0,1.0
355370,2014,8.0,12.0
355380,2014,0.0,1.0
355400,2014,14.0,16.0
355410,2014,81.0,81.0
355450,2014,0.0,1.0
355500,2014,18.0,18.0
355540,2014,0.0,7.0
355620,2014,46.0,48.0
355700,2014,12.0,12.0
355710,2014,30.0,30.0
410090,2014,0.0,1.0
410100,2014,0.0,1.0
410120,2014,0.0,1.0
410140,2014,28.0,28.0
410150,2014,59.0,59.0
410160,2014,0.0,1.0
410170,2014,0.0,1.0
410180,2014,17.0,21.0
410240,2014,12.0,23.0
410250,2014,0.0,1.0
410305,2014,0.0,1.0
410330,2014,0.0,1.0
410370,2014,16.0,24.0
410400,2014,73.0,75.0
410420,2014,374.0,374.0
410430,2014,33.0,36.0
410445,2014,0.0,2.0
410450,2014,0.0,1.0
410460,2014,0.0,1.0
410470,2014,0.0,1.0
410480,2014,152.0,173.0
410490,2014,9.0,13.0
410550,2014,18.0,19.0
410560,2014,0.0,1.0
410630,2014,0.0,1.0
410640,2014,30.0,30.0
410650,2014,0.0,3.0
410680,2014,0.0,2.0
410690,2014,700.0,877.0
410720,2014,0.0,2.0
410725,2014,0.0,1.0
410760,2014,0.0,1.0
410765,2014,0.0,2.0
410830,2014,55.0,66.0
410840,2014,63.0,69.0
